gcp_label,image_file_name,x,y,lon,lat,elev,lon_acc,lat_acc,elev_acc
1,ARBCSRD00010006.tif,5365.68,2255.75,-111.73663,32.91447,393.12,2,2,1
1,ARBCSRD00010007.tif,1696.48,2281.01,-111.73663,32.91447,393.12,2,2,1
2,ARBCSRD00010006.tif,8225.37,9258.97,-111.68812,32.89799,400.15,2,2,1
2,ARBCSRD00010007.tif,4617.2,9285.44,-111.68812,32.89799,400.15,2,2,1
3,ARBCSRD00010008.tif,7120.2,5296.59,-111.71621,32.86118,404.17,2,2,1
3,ARBCSRD00010009.tif,3476.42,5276.57,-111.71621,32.86118,404.17,2,2,1
4,ARBCSRD00010008.tif,8884.91,9333.51,-111.68868,32.8509,408.65,2,2,1
4,ARBCSRD00010009.tif,5222.91,9290.54,-111.68868,32.8509,408.65,2,2,1
5,ARBCSRD00010015.tif,1888.98,7292.44,-111.77294,32.90187,395.61,2,2,1
5,ARBCSRD00010016.tif,5639.22,7356.89,-111.77294,32.90187,395.61,2,2,1
6,ARBCSRD00010016.tif,1943.13,5620.18,-111.76095,32.88041,392.55,2,2,1
6,ARBCSRD00010017.tif,5475.45,5507.67,-111.76095,32.88041,392.55,2,2,1
7,ARBCSRD00010017.tif,2969.06,4479.86,-111.75383,32.8658,397.52,2,2,1
7,ARBCSRD00010018.tif,6449.33,4281.1,-111.75383,32.8658,397.52,2,2,1
8,ARBCSRD00010018.tif,1423.93,2235.5,-111.74044,32.83649,404.17,2,2,1
8,ARBCSRD00010019.tif,5100.09,2069.86,-111.74044,32.83649,404.17,2,2,1
9,ARBCSRD00010018.tif,2968.31,7305.6,-111.77507,32.84583,397.41,2,2,1
9,ARBCSRD00010019.tif,6723.61,7112.9,-111.77507,32.84583,397.41,2,2,1
10,ARBCSRD00010026.tif,6107.34,6374.32,-111.79092,32.89471,386.69,2,2,1
10,ARBCSRD00010027.tif,2190.91,6506.44,-111.79092,32.89471,386.69,2,2,1
11,ARBCSRD00010026.tif,8531.21,1175.83,-111.8261,32.87933,383.24,2,2,1
11,ARBCSRD00010027.tif,4596.66,1320.94,-111.8261,32.87933,383.24,2,2,1
12,ARBCSRD00010027.tif,8437.58,3615.39,-111.80905,32.85759,388.83,2,2,1
12,ARBCSRD00010028.tif,4702.83,3672.39,-111.80905,32.85759,388.83,2,2,1
13,ARBCSRD00010029.tif,5616.86,9041.68,-111.77157,32.83042,403.18,2,2,1
13,ARBCSRD00010030.tif,1873.59,9159.92,-111.77157,32.83042,403.18,2,2,1
14,ARBCSRD00010029.tif,7144.74,4866.08,-111.80019,32.82135,398.24,2,2,1
14,ARBCSRD00010030.tif,3468.02,4977.09,-111.80019,32.82135,398.24,2,2,1
15,ARBCSRD00010029.tif,5565.61,885.98,-111.82784,32.83058,392.45,2,2,1
