gcp_label,image_file_name,x,y,lon,lat,elev,lon_acc,lat_acc,elev_acc
cg01,ARBCSRD00010006.tif,4703.34,2196.9,-111.69926,32.91844,397.65,2,2,1
cg01,ARBCSRD00010007.tif,1068.13,2150.83,-111.69926,32.91844,397.65,2,2,1
cg02,ARBCSRD00010008.tif,9037.0,388.1,-111.68769,32.85004,409.1,2,2,1
cg02,ARBCSRD00010009.tif,5371.91,435.28,-111.68769,32.85004,409.1,2,2,1
cg03,ARBCSRD00010015.tif,4061.36,7827.46,-111.73664,32.91422,393.25,2,2,1
cg03,ARBCSRD00010016.tif,7710.46,7774.68,-111.73664,32.91422,393.25,2,2,1
cg04,ARBCSRD00010007.tif,5235.72,3097.9,-111.70532,32.89419,398.97,2,2,1
cg04,ARBCSRD00010008.tif,1395.52,3007.96,-111.70532,32.89419,398.97,2,2,1
cg05,ARBCSRD00010045.tif,3735.16,6666.33,-111.83203,32.90961,378.68,2,2,1
cg05,ARBCSRD00010046.tif,7411.7,6748.23,-111.83203,32.90961,378.68,2,2,1
cg06,ARBCSRD00010053.tif,5310.3,7673.3,-111.82413,32.74746,407.0,2,2,1
cg06,ARBCSRD00010054.tif,8953.08,7902.26,-111.82413,32.74746,407.0,2,2,1
cg07,ARBCSRD00010066.tif,5992.26,8907.36,-111.91636,32.89407,366.38,2,2,1
cg07,ARBCSRD00010067.tif,2350.0,8742.25,-111.91636,32.89407,366.38,2,2,1
cg08,ARBCSRD00010073.tif,6653.77,2876.72,-111.8741,32.73836,397.12,2,2,1
cg08,ARBCSRD00010074.tif,2959.41,2838.44,-111.8741,32.73836,397.12,2,2,1
cg09,ARBCSRD00010015.tif,1775.18,2055.65,-111.77656,32.90124,393.0,2,2,1
cg09,ARBCSRD00010016.tif,5536.02,1991.91,-111.77656,32.90124,393.0,2,2,1
cg10,ARBCSRD00010016.tif,3158.66,2301.13,-111.77436,32.88749,391.53,2,2,1
cg10,ARBCSRD00010017.tif,6695.55,2416.53,-111.77436,32.88749,391.53,2,2,1
cg11,ARBCSRD00010018.tif,3742.21,1418.06,-111.78299,32.85043,395.73,2,2,1
cg11,ARBCSRD00010019.tif,7506.83,1643.31,-111.78299,32.85043,395.73,2,2,1
cg12,ARBCSRD00010018.tif,5715.33,7601.55,-111.74015,32.86137,402.42,2,2,1
cg12,ARBCSRD00010019.tif,9425.27,7875.81,-111.74015,32.86137,402.42,2,2,1
cg13,ARBCSRD00010027.tif,8571.42,3765.44,-111.79167,32.85749,392.76,2,2,1
cg13,ARBCSRD00010028.tif,4737.44,3699.44,-111.79167,32.85749,392.76,2,2,1
cg14,ARBCSRD00010028.tif,8476.82,1010.88,-111.77285,32.83588,400.09,2,2,1
cg14,ARBCSRD00010029.tif,4677.11,1007.38,-111.77285,32.83588,400.09,2,2,1
cg15,ARBCSRD00010029.tif,8773.82,7242.4,-111.81574,32.81182,397.86,2,2,1
cg15,ARBCSRD00010030.tif,5136.21,7113.26,-111.81574,32.81182,397.86,2,2,1
cg16,ARBCSRD00010030.tif,7219.34,1070.85,-111.77431,32.7995,405.33,2,2,1
cg16,ARBCSRD00010031.tif,3474.59,959.22,-111.77431,32.7995,405.33,2,2,1
cg17,ARBCSRD00010031.tif,8536.18,910.67,-111.77445,32.77029,411.63,2,2,1
